path,class,split,label
C:\Users\msfir\Downloads\waste_classification_project_1\waste_classification\notebooks\data\processed\train\plastic\00417.jpg,plastic,train,0
C:\Users\msfir\Downloads\waste_classification_project_1\waste_classification\notebooks\data\processed\train\plastic\00228.jpg,plastic,train,0
C:\Users\msfir\Downloads\waste_classification_project_1\waste_classification\notebooks\data\processed\train\plastic\00278.jpg,plastic,train,0
C:\Users\msfir\Downloads\waste_classification_project_1\waste_classification\notebooks\data\processed\train\plastic\00092.jpg,plastic,train,0
C:\Users\msfir\Downloads\waste_classification_project_1\waste_classification\notebooks\data\processed\train\plastic\00139.jpg,plastic,train,0
C:\Users\msfir\Downloads\waste_classification_project_1\waste_classification\notebooks\data\processed\train\plastic\00421.jpg,plastic,train,0
C:\Users\msfir\Downloads\waste_classification_project_1\waste_classification\notebooks\data\processed\train\plastic\00014.jpg,plastic,train,0
C:\Users\msfir\Downloads\waste_classification_project_1\waste_classification\notebooks\data\processed\train\plastic\00361.jpg,plastic,train,0
C:\Users\msfir\Downloads\waste_classification_project_1\waste_classification\notebooks\data\processed\train\plastic\00093.jpg,plastic,train,0
C:\Users\msfir\Downloads\waste_classification_project_1\waste_classification\notebooks\data\processed\train\plastic\00153.jpg,plastic,train,0
C:\Users\msfir\Downloads\waste_classification_project_1\waste_classification\notebooks\data\processed\train\plastic\00267.jpg,plastic,train,0
C:\Users\msfir\Downloads\waste_classification_project_1\waste_classification\notebooks\data\processed\train\plastic\00011.jpg,plastic,train,0
C:\Users\msfir\Downloads\waste_classification_project_1\waste_classification\notebooks\data\processed\train\plastic\00378.jpg,plastic,train,0
C:\Users\msfir\Downloads\waste_classification_project_1\waste_classification\notebooks\data\processed\train\plastic\00149.jpg,plastic,train,0
C:\Users\msfir\Downloads\waste_classification_project_1\waste_classification\notebooks\data\processed\train\plastic\00265.jpg,plastic,train,0
C:\Users\msfir\Downloads\waste_classification_project_1\waste_classification\notebooks\data\processed\train\plastic\00307.jpg,plastic,train,0
C:\Users\msfir\Downloads\waste_classification_project_1\waste_classification\notebooks\data\processed\train\plastic\00144.jpg,plastic,train,0
C:\Users\msfir\Downloads\waste_classification_project_1\waste_classification\notebooks\data\processed\train\plastic\00385.jpg,plastic,train,0
C:\Users\msfir\Downloads\waste_classification_project_1\waste_classification\notebooks\data\processed\train\plastic\00233.jpg,plastic,train,0
C:\Users\msfir\Downloads\waste_classification_project_1\waste_classification\notebooks\data\processed\train\plastic\00312.jpg,plastic,train,0
C:\Users\msfir\Downloads\waste_classification_project_1\waste_classification\notebooks\data\processed\train\plastic\00328.jpg,plastic,train,0
C:\Users\msfir\Downloads\waste_classification_project_1\waste_classification\notebooks\data\processed\train\plastic\00284.jpg,plastic,train,0
C:\Users\msfir\Downloads\waste_classification_project_1\waste_classification\notebooks\data\processed\train\plastic\00002.jpg,plastic,train,0
C:\Users\msfir\Downloads\waste_classification_project_1\waste_classification\notebooks\data\processed\train\plastic\00100.jpg,plastic,train,0
C:\Users\msfir\Downloads\waste_classification_project_1\waste_classification\notebooks\data\processed\train\plastic\00055.jpg,plastic,train,0
C:\Users\msfir\Downloads\waste_classification_project_1\waste_classification\notebooks\data\processed\train\plastic\00059.jpg,plastic,train,0
C:\Users\msfir\Downloads\waste_classification_project_1\waste_classification\notebooks\data\processed\train\plastic\00340.jpg,plastic,train,0
C:\Users\msfir\Downloads\waste_classification_project_1\waste_classification\notebooks\data\processed\train\plastic\00162.jpg,plastic,train,0
C:\Users\msfir\Downloads\waste_classification_project_1\waste_classification\notebooks\data\processed\train\plastic\00227.jpg,plastic,train,0
C:\Users\msfir\Downloads\waste_classification_project_1\waste_classification\notebooks\data\processed\train\plastic\00129.jpg,plastic,train,0
C:\Users\msfir\Downloads\waste_classification_project_1\waste_classification\notebooks\data\processed\train\plastic\00241.jpg,plastic,train,0
C:\Users\msfir\Downloads\waste_classification_project_1\waste_classification\notebooks\data\processed\train\plastic\00317.jpg,plastic,train,0
C:\Users\msfir\Downloads\waste_classification_project_1\waste_classification\notebooks\data\processed\train\plastic\00262.jpg,plastic,train,0
C:\Users\msfir\Downloads\waste_classification_project_1\waste_classification\notebooks\data\processed\train\plastic\00192.jpg,plastic,train,0
C:\Users\msfir\Downloads\waste_classification_project_1\waste_classification\notebooks\data\processed\train\plastic\00401.jpg,plastic,train,0
C:\Users\msfir\Downloads\waste_classification_project_1\waste_classification\notebooks\data\processed\train\plastic\00199.jpg,plastic,train,0
C:\Users\msfir\Downloads\waste_classification_project_1\waste_classification\notebooks\data\processed\train\plastic\00387.jpg,plastic,train,0
C:\Users\msfir\Downloads\waste_classification_project_1\waste_classification\notebooks\data\processed\train\plastic\00386.jpg,plastic,train,0
C:\Users\msfir\Downloads\waste_classification_project_1\waste_classification\notebooks\data\processed\train\plastic\00043.jpg,plastic,train,0
C:\Users\msfir\Downloads\waste_classification_project_1\waste_classification\notebooks\data\processed\train\plastic\00347.jpg,plastic,train,0
C:\Users\msfir\Downloads\waste_classification_project_1\waste_classification\notebooks\data\processed\train\plastic\00085.jpg,plastic,train,0
C:\Users\msfir\Downloads\waste_classification_project_1\waste_classification\notebooks\data\processed\train\plastic\00268.jpg,plastic,train,0
C:\Users\msfir\Downloads\waste_classification_project_1\waste_classification\notebooks\data\processed\train\plastic\00159.jpg,plastic,train,0
C:\Users\msfir\Downloads\waste_classification_project_1\waste_classification\notebooks\data\processed\train\plastic\00156.jpg,plastic,train,0
C:\Users\msfir\Downloads\waste_classification_project_1\waste_classification\notebooks\data\processed\train\plastic\00365.jpg,plastic,train,0
C:\Users\msfir\Downloads\waste_classification_project_1\waste_classification\notebooks\data\processed\train\plastic\00158.jpg,plastic,train,0
C:\Users\msfir\Downloads\waste_classification_project_1\waste_classification\notebooks\data\processed\train\plastic\00244.jpg,plastic,train,0
